#NAME?,"Sorry, the query is too large to fit into the Excel cell. You will not be able to update your table with the .Stat Populator.",,,,,,,
Dataset: Demographic and socio-economic,,,,,,,,
Indicator,,"GNI per capita, PPP (current international $)",,,,,,
Time,,2014,2015,2016,2017,2018,2019,2020
Palau,,17690,19200,19490,18970,20320,19530,..
Palestine,,6090,6680,7080,7250,7580,7490,..
Panama,,20900,23700,25840,28610,29450,30610,..
Papua New Guinea,,3700,3890,4100,4200,4180,4340,..
Paraguay,,11010,11040,11550,12200,12750,12780,..
Peru,,10990,11180,11520,11930,12420,12680,..
Philippines,,7760,8010,8560,9020,9650,10220,..
Poland,,24520,25880,27210,28820,30650,32790,..
Portugal,,28150,28870,30840,32270,34080,35910,..
Puerto Rico,,22620,22900,23040,22940,23600,24470,..
Qatar,,123250,90920,82490,91500,91250,91500,..
Republic of Korea,,35500,38020,39720,41120,42660,43100,..
Republic of Moldova,,9590,9790,11200,12320,13270,14280,..
Réunion,,..,..,..,..,..,..,..
Romania,,20560,21380,23950,26760,28710,31890,..
Russian Federation,,24910,23420,23460,25230,27980,28260,27550
Rwanda,,1670,1760,1840,1930,2070,2240,..
Saint Helena,,..,..,..,..,..,..,..
Saint Kitts and Nevis,,22180,22240,23420,24120,25300,26320,..
Saint Lucia,,12920,12390,13410,14140,14690,15150,..
Saint Pierre and Miquelon,,..,..,..,..,..,..,..
Saint Vincent and the Grenadines,,10850,11360,12370,12160,12640,12910,..
Saint-Barthélemy,,..,..,..,..,..,..,..
Saint-Martin (French part),,..,..,..,..,..,..,..
Samoa,,5350,5700,6180,6270,6230,6480,..
San Marino,,..,..,..,..,..,..,..
Sao Tome and Principe,,3880,3820,3900,3940,4090,4070,..
Saudi Arabia,,56940,49900,46590,48040,49210,49420,..
Senegal,,2780,2910,3000,3110,3320,3470,..
Serbia,,14100,14240,14990,15520,16830,17910,..
Seychelles,,22430,22610,23720,25220,26680,29840,..
Sierra Leone,,1750,1570,1420,1590,1580,1770,..
Singapore,,81490,81040,83730,87740,90260,92530,..
Sint Maarten (Dutch part),,38380,37920,38220,37080,35390,..,..
Slovakia,,28670,29200,28890,29530,31120,31970,..
Slovenia,,30590,30650,33080,35850,38290,40530,..
Solomon Islands,,2430,2400,2470,2610,2760,2780,..
Somalia,,..,..,..,..,..,..,..
South Africa,,12190,12240,12240,12320,12520,12640,..
South Sudan,,1280,1080,..,..,..,..,..
Spain,,33400,34900,37380,39540,40790,42250,..
Sri Lanka,,11000,11270,11900,12250,12880,13230,..
Sudan,,4450,4320,4460,4270,4360,4140,3970
Suriname,,17030,16030,13440,14350,14970,15420,..
Sweden,,48180,49500,50720,52830,54500,56410,..
Switzerland,,62170,65340,65880,65610,68900,71660,..
Syrian Arab Republic,,..,..,..,..,..,..,..
Tajikistan,,4090,3570,3620,3610,3940,4250,..
